Month,Day,Births,binaryClass
2,15,9536.0,0
2,16,9568.0,0
2,17,9835.0,0
2,18,8432.0,0
2,19,7868.0,1
2,20,9592.0,0
2,21,9950.0,0
2,22,9548.0,0
2,23,7915.0,0
2,24,9037.0,0
2,25,8275.0,0
2,26,8068.0,1
2,27,9825.0,0
2,28,9814.0,0
2,29,9438.0,0
2,30,9396.0,0
3,1,9592.0,0
3,2,8528.0,0
3,3,8196.0,1
3,4,9767.0,0
3,5,9881.0,0
3,6,9402.0,0
3,7,9480.0,0
3,8,9398.0,0
3,9,8335.0,0
3,10,8093.0,1
3,11,9686.0,0
3,12,10063.0,0
3,13,9509.0,0
3,14,9524.0,0
3,15,9951.0,0
3,16,8507.0,0
3,17,8172.0,1
3,18,10196.0,0
3,19,10605.0,0
3,20,9998.0,0
3,21,9398.0,0
3,22,9008.0,0
3,23,7939.0,0
3,24,7964.0,1
3,25,7846.0,0
3,26,8902.0,0
3,27,9907.0,0
3,28,10177.0,0
3,29,10401.0,0
3,30,8474.0,0
3,31,8028.0,1
